open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume
1675209600000,23125.65000000,23164.52000000,23041.49000000,23091.08000000,33.42016500,1675210499999,772011.41475012,589,14.26759300,329567.05919396
1675210500000,23088.84000000,23091.29000000,23030.52000000,23043.94000000,14.06322900,1675211399999,324473.52765074,323,5.74777900,132628.82541900
1675211400000,23043.04000000,23087.16000000,23000.72000000,23074.18000000,19.82930200,1675212299999,457042.11157137,362,9.64902500,222404.05567556
1675212300000,23072.86000000,23111.74000000,23072.78000000,23083.26000000,8.18167400,1675213199999,188962.91385758,250,3.03604800,70125.99679401
1675213200000,23088.75000000,23119.30000000,23087.81000000,23115.00000000,5.63372800,1675214099999,130158.04934517,143,3.98940400,92171.62592134
1675214100000,23112.80000000,23113.11000000,23057.80000000,23064.38000000,8.74009500,1675214999999,201705.85946751,177,3.77484500,87111.15621545
1675215000000,23064.38000000,23157.50000000,23057.09000000,23153.73000000,13.74919600,1675215899999,317740.19266623,248,8.12102000,187651.61072042
1675215900000,23151.22000000,23177.56000000,23115.25000000,23125.92000000,14.29735100,1675216799999,330923.76672575,307,6.32823300,146497.60716126
1675216800000,23128.31000000,23128.31000000,23090.43000000,23094.57000000,6.60341800,1675217699999,152599.06132605,171,2.61337800,60400.82020288
1675217700000,23092.40000000,23101.30000000,23076.04000000,23085.78000000,16.93767000,1675218599999,391067.63054136,308,10.36417900,239316.63337809
1675218600000,23082.73000000,23112.56000000,23078.44000000,23088.65000000,4.74596400,1675219499999,109630.37150083,160,2.21097500,51073.77248474
1675219500000,23083.88000000,23108.86000000,23080.29000000,23108.86000000,3.27562900,1675220399999,75642.11887255,95,0.92903800,21457.23262617
1675220400000,23106.38000000,23110.13000000,23087.98000000,23101.29000000,3.98665300,1675221299999,92093.50278176,103,1.58748000,36673.72046417
1675221300000,23101.97000000,23102.60000000,23065.22000000,23079.11000000,3.08942400,1675222199999,71294.33188966,69,1.10002100,25389.28923356
1675222200000,23083.51000000,23100.83000000,23041.95000000,23099.50000000,8.07547500,1675223099999,186326.52538262,211,3.77670600,87150.66997089
1675223100000,23101.95000000,23131.30000000,23098.93000000,23126.83000000,2.29859300,1675223999999,53133.99162093,101,1.22475100,28315.53276281
1675224000000,23130.78000000,23140.67000000,23126.64000000,23128.66000000,4.09068700,1675224899999,94627.49568330,111,1.13972200,26368.56054041
1675224900000,23126.47000000,23150.67000000,23109.30000000,23133.18000000,2.71986200,1675225799999,62919.45839433,107,1.15957700,26826.88697814
1675225800000,23138.45000000,23152.14000000,23115.15000000,23144.78000000,3.85237000,1675226699999,89123.13901471,145,2.08311200,48187.24162683
1675226700000,23149.16000000,23149.16000000,23122.89000000,23137.98000000,4.37527700,1675227599999,101228.77065762,108,1.74893400,40468.45294498
1675227600000,23133.69000000,23155.64000000,23133.68000000,23155.64000000,2.68370700,1675228499999,62110.41254391,107,1.19849100,27738.23384713
1675228500000,23152.94000000,23160.17000000,23140.15000000,23160.17000000,1.65616300,1675229399999,38343.60554412,81,0.73519500,17023.22869936
1675229400000,23156.61000000,23164.11000000,23127.25000000,23131.32000000,3.82499500,1675230299999,88525.63360531,113,1.78623600,41345.87437557
1675230300000,23135.82000000,23135.82000000,23112.05000000,23114.92000000,2.59323900,1675231199999,59963.68059147,152,1.00310300,23196.73734939
1675231200000,23114.92000000,23130.44000000,23108.88000000,23115.30000000,4.16571600,1675232099999,96307.62620980,114,2.57003600,59422.69680915
1675232100000,23116.69000000,23118.13000000,23069.85000000,23102.22000000,6.25365100,1675232999999,144402.96515791,156,2.51984400,58195.30476940
1675233000000,23106.39000000,23127.65000000,23086.83000000,23086.83000000,3.87447600,1675233899999,89533.01785326,117,2.06012300,47608.47659945
